cap_pv_mw,r2_pv,cap_hp_mw,r2_hp,cap_battery_mw
0.0,1.0,0.0,1.0,0
0.0,0.0001481223092407724,0.5364230602748388,0.652254280238924,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.004623097403256615,0.5912066536249916,0.6767068300613519,0
0.0,1.0,0.0,1.0,0
0.0,0.0037799570614196476,0.5241694488319658,0.5521489258268745,0
0.0,1.0,0.0,1.0,0
0.0,0.0018487203146481113,0.5793194332120561,0.6755054762061572,0
0.0,0.0008111330180211596,0.4713920204198206,0.5555041154981015,0
0.0,1.0,0.0,1.0,0
0.0,0.0053935820518067334,0.6119932382764959,0.6908193786033537,0
0.0,0.0006734779958192938,0.3875986276750787,0.49941086991394756,0
0.0,0.0007766774991200265,0.5552604641675143,0.6726178901244977,0
0.0,1.0,0.0,1.0,0
0.0,0.0021529491321903294,0.5161436298169974,0.6349906024349117,0
0.0,0.010313311471009667,0.3530450867945381,0.42512323361861604,0
0.0,1.0,0.0,1.0,0
0.0,0.00016448169053906447,0.5829944960622903,0.6907544765361169,0
0.0,0.03499920179899918,0.2742764710300609,0.33197084976663394,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.00028966490349713325,0.42167427824601006,0.5053186734392408,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.0003603719078737466,0.5318059121184753,0.6023949340868187,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,9.110435621562107e-05,0.4928006224169399,0.5768469749244267,0
0.0,0.004039928391797898,0.35925608732097447,0.32217744337280785,0
0.0,1.0,0.0,1.0,0
0.0,0.00027292289042046836,0.4268897886975813,0.479857781691572,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.1602850614855775e-05,0.5015701813078199,0.5332673652484785,0
0.0,0.04054819165298107,0.5299155108032769,0.5621517223809375,0
0.0,0.00027291466502876727,0.572701434553303,0.6826427586813233,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.0009501995230807303,0.4655443617396397,0.5887621417395317,0
0.0,1.0,0.0,1.0,0
0.0,0.004405591821874166,0.5427376080176365,0.5818080266479841,0
0.0,0.0018503763194865908,0.4808131511820929,0.568452353520204,0
0.0,1.0,0.0,1.0,2
0.0,0.0025022896954911555,0.4707875484502875,0.5525534438886615,0
0.0,1.0,0.0,1.0,0
0.0,6.23167413390524e-05,0.36571307381062973,0.4716954232358317,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,3.498907105958793e-05,0.34479812809789534,0.5923287620624669,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,2.1992133173553974e-05,0.4888572581153998,0.6115056280006883,0
0.0,1.0,0.0,1.0,0
0.0,0.007358862525544074,0.41793549630923965,0.46694759631410043,0
0.0,0.015277264815474978,0.5711434589074134,0.6520489001559391,0
0.0,0.004314294721222245,0.5747870250121174,0.6468434838639234,0
0.0,0.03396360150264366,0.6686870435268872,0.7765409705352276,0
0.0,4.264232523154554e-05,0.5864475705363417,0.6813525607715352,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.02717204628407599,0.4669710081646922,0.5873568093633481,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,2
0.0,1.0,0.0,1.0,0
0.0,0.0023578510796991026,0.5231026587811634,0.6584337834012146,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.00025924726903692186,0.40092198241008886,0.48916154402188883,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.0009937080398202403,0.4419411025709531,0.5817741718141034,0
0.0,0.005339051325118138,0.5251030581613638,0.5790653193789722,0
0.3445598964386872,0.18078222979157776,0.08938968335343547,0.1033046607551521,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,3.4874340647972346e-05,0.5777218059726295,0.6767972600828389,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.001282928342797307,0.5148364815828311,0.6527411977251902,0
0.0,1.0,0.0,1.0,0
0.0,0.0015072305958990784,0.3413827308399018,0.3388457470617823,0
0.0,1.0,0.0,1.0,0
0.0,0.0005828402618557327,0.591085427931082,0.6462360275049647,0
0.0,1.0,0.0,1.0,0
0.0,0.0014814390372156483,0.5658983838352849,0.6811278744681752,0
0.0,0.0006903981090577993,0.5264738007425537,0.6444381694778678,0
0.0,1.0,0.0,1.0,0
0.0,0.011083744434985054,0.5317338769409291,0.6735971233012343,0
0.0,0.01971193886735534,0.44191953541592943,0.6493962015670554,0
0.0,1.0,0.0,1.0,0
0.0,0.004101190371070151,0.5532091755163434,0.6436067816137093,0
0.0,1.0,0.0,1.0,0
0.0,0.0002279361364211363,0.54101161715484,0.6234428630008533,0
0.0,0.0006502156881088572,0.4857902218006169,0.5833791695672284,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.0002472120387129184,0.5549856830281227,0.6590773214922369,0
0.0,0.0009961506922516739,0.47837641497579675,0.5739281289122729,0
0.0,1.0,0.0,1.0,0
0.0,0.00038812743914773407,0.5414327642820305,0.6626410855199841,0
0.0,0.0026158587570962455,0.5196342293598686,0.6512762940163282,0
0.0,1.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.00405112930699425,0.4905281581426483,0.5537506123434117,0
